id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18982526,18 on Kloof Guest House - Elephant Room,42813237,Cindy,,Ward 100,-34.16434,18.86362,Private room,1184,1,0,,,4,359
18982782,18 on Kloof Guest House - Buffalo Room,42813237,Cindy,,Ward 100,-34.16372,18.86472,Private room,1184,1,0,,,4,359
18983665,18 on Kloof Guest House - Lion Room,42813237,Cindy,,Ward 100,-34.16416,18.86465,Private room,1759,1,1,2019-01-07,0.06,4,358
18983851,18 on Kloof Guest House - Leopard Room,42813237,Cindy,,Ward 100,-34.16537,18.86426,Private room,1289,1,0,,,4,353
18991889,Township lifestyle,132025616,Leonil,,Ward 101,-33.84009,18.75024,Shared room,801,3,0,,,1,362
18998259,Spacious ensuite bedroom,9588616,Jacqueline,,Ward 115,-33.91176,18.39942,Private room,506,2,13,2019-03-05,0.38,2,362
19002152,South Beach Camps Bay - Deluxe Suite 18,5011034,Kerri And Kelly From Blue Views,,Ward 54,-33.95652,18.37795,Private room,2198,1,1,2018-07-03,0.04,14,365
19002398,South Beach Camps Bay - Deluxe Suite 19,5011034,Kerri And Kelly From Blue Views,,Ward 54,-33.95692,18.37682,Private room,2203,1,0,,,14,365
19003119,West Beach Cottages - Lilacs Cottage,132583477,Diane,,Ward 23,-33.80953,18.47912,Entire home/apt,715,2,7,2019-02-28,0.25,2,175
19004157,A magnificent sunrise over  the harbour,46995172,Mark,,Ward 115,-33.92968,18.42193,Entire home/apt,493,1,33,2020-02-21,0.94,1,365
19004468,Tranquil Sea View Retreat in Coastal Camps Bay,45253190,Tanya,,Ward 54,-33.95619,18.38485,Entire home/apt,2704,5,53,2020-03-29,1.81,2,184
19005606,Studio 22,8209470,Neil,,Ward 61,-34.19656,18.43291,Entire home/apt,1000,1,13,2019-02-24,0.40,1,0
19008560,Custom Boutique Apartment with Separate Study & Balcony,26512918,Gerard,,Ward 115,-33.90862,18.40806,Entire home/apt,855,3,113,2020-03-20,3.18,3,365
19013252,CAMPS BAY BREATH OF LIFE - PROTEA APARTMENT,101021635,CAMPS BAY Breath Of Life-Protea Apt,,Ward 54,-33.9666,18.38224,Entire home/apt,2806,5,57,2020-03-29,1.69,1,365
19020925,A stone drop from Table Mountain,3659666,Alicia,,Ward 77,-33.93827,18.40073,Private room,506,2,34,2020-03-25,0.99,1,177
19025220,Constantia Cottage in beautiful garden,28040924,Corinne,,Ward 71,-34.05019,18.43985,Entire home/apt,1498,4,29,2020-02-21,0.81,1,0
19025869,West Beach Cottages - Corner Cottage,132583477,Diane,,Ward 23,-33.80951,18.48037,Entire home/apt,855,1,25,2020-03-03,0.81,2,160
19026282,"Regency - safety, privacy and convenience",82116313,Anthony,,Ward 64,-34.13436,18.43246,Entire home/apt,644,4,3,2020-01-02,0.11,1,177
19043806,Stay in Royal Ascot,21631110,Julie,,Ward 4,-33.8567,18.50499,Private room,1000,5,0,,,1,90
19044147,Comfortable studio with mountain view,7690566,Colleen,,Ward 60,-33.95285,18.49974,Entire home/apt,300,7,11,2019-02-03,0.33,1,0
19046021,Spacious 1 Bedroom apartment 7,25730782,Clara,,Ward 77,-33.93405,18.40877,Entire home/apt,793,2,1,2020-03-09,0.38,13,359
19046513,Beach apartment with shared swimming pool,132919862,Lola,,Ward 61,-34.19496,18.44521,Entire home/apt,1202,1,42,2020-02-23,1.16,1,365
19048416,Old World Guest Room in Sea Point,56563321,Bernado,,Ward 54,-33.92258,18.37993,Private room,846,2,79,2020-03-09,2.18,1,2
19050827,Secure-Golf-Serviced & Peaceful for family time,132975397,Andrew,,Ward 84,-34.06414,18.88397,Entire home/apt,4493,5,8,2020-01-03,0.23,1,0
19052104,Luxurious Yellow Wood Cottage | Somerset West,99487919,Tracey & Aaron,,Ward 15,-34.06498,18.83476,Entire home/apt,698,2,58,2020-03-22,1.66,2,364
19055754,Spacious Friendly Flat in Leafy Central CT,19688241,Roslyn,,Ward 77,-33.92792,18.40533,Private room,247,3,2,2018-02-10,0.06,1,0
19056598,Ngesi House,111073544,Jacqueline,,Ward 53,-33.94326,18.51606,Entire home/apt,540,1,0,,,1,363
19063367,Sunset Beach Cottage,130232013,Doris,,Ward 4,-33.85528,18.49393,Entire home/apt,1132,3,22,2020-03-16,0.63,2,364
19065116,Lighthouse Quaint & Cosy Couples & Family Bedroom,133087274,Helen,,Ward 53,-33.94242,18.48789,Private room,296,2,2,2019-05-24,0.07,1,362
19066440,"Quiet, sunny Tamboerskloof flat, best CT location",95317873,Charles,,Ward 77,-33.93621,18.40262,Entire home/apt,1344,3,2,2018-01-31,0.07,1,330
19066952,Spacious with balcony view of main road,132869696,Constance,,Ward 113,-33.81618,18.50834,Private room,846,4,0,,,1,0
19075073,French Countryside Manor with Mountain View’s.,4388755,Loren,,Ward 74,-34.01553,18.36321,Entire home/apt,1498,7,19,2020-02-14,0.63,1,266
